EDT,Latitude,Longitude,Course,Direction,KTS,MPH,feet,Rate
Wed 08:05:51 PM,36.2503,26.0458,137¡,Southeast,516,594,"37,000",
Wed 08:06:21 PM,36.1962,26.106,138¡,Southeast,516,594,"37,000",
Wed 08:06:51 PM,36.143,26.1649,137¡,Southeast,514,592,"37,000",
Wed 08:07:21 PM,36.0892,26.2247,138¡,Southeast,514,592,"37,000",
Wed 08:07:51 PM,36.0364,26.2831,138¡,Southeast,514,592,"37,000",
Wed 08:08:37 PM,35.955,26.3731,138¡,Southeast,516,594,"37,000",
Wed 08:09:37 PM,35.8479,26.4904,138¡,Southeast,515,593,"37,000",
Wed 08:10:07 PM,35.7942,26.5496,138¡,Southeast,515,593,"37,000",
Wed 08:10:37 PM,35.7413,26.6076,138¡,Southeast,514,592,"37,000",
Wed 08:11:11 PM,35.6808,26.6734,138¡,Southeast,515,593,"37,000",
Wed 08:11:41 PM,35.6274,26.7317,138¡,Southeast,516,594,"37,000",
Wed 08:12:11 PM,35.5736,26.79,138¡,Southeast,514,592,"37,000",
Wed 08:12:41 PM,35.5202,26.8482,138¡,Southeast,514,592,"37,000",
Wed 08:13:11 PM,35.4665,26.9064,138¡,Southeast,515,593,"37,000",
Wed 08:13:41 PM,35.4129,26.9644,138¡,Southeast,516,594,"37,000",
Wed 08:14:11 PM,35.3587,27.0231,138¡,Southeast,515,593,"37,000",
Wed 08:14:41 PM,35.3049,27.0811,138¡,Southeast,515,593,"37,000",
Wed 08:15:11 PM,35.2515,27.1386,138¡,Southeast,515,593,"37,000",
Wed 08:15:41 PM,35.1978,27.1963,138¡,Southeast,516,594,"37,000",
Wed 08:16:11 PM,35.1437,27.254,138¡,Southeast,516,594,"37,000",
Wed 08:16:42 PM,35.0905,27.3112,138¡,Southeast,518,596,"37,000",
Wed 08:17:41 PM,34.9827,27.4262,138¡,Southeast,521,600,"37,000",
Wed 08:18:11 PM,34.9271,27.4852,138¡,Southeast,521,600,"37,000",
Wed 08:18:41 PM,34.8732,27.5424,138¡,Southeast,520,598,"37,000",
Wed 08:19:11 PM,34.8196,27.5993,138¡,Southeast,520,598,"37,000",
Wed 08:19:41 PM,34.7647,27.6574,138¡,Southeast,520,598,"37,000",
Wed 08:20:11 PM,34.7093,27.716,138¡,Southeast,519,597,"37,000",
Wed 08:20:41 PM,34.6554,27.7727,138¡,Southeast,521,600,"37,000",
Wed 08:21:50 PM,34.5292,27.9056,139¡,Southeast,521,600,"37,000",
Wed 08:22:49 PM,34.4719,27.9656,139¡,Southeast,528,608,"37,000",
Wed 08:28:10 PM,33.8272,28.6335,139¡,Southeast,527,606,"37,000",
Wed 08:28:46 PM,33.7795,28.6824,139¡,Southeast,529,609,"37,000",
Wed 08:29:21 PM,33.6952,28.7706,136¡,Southeast,533,613,"37,000",
